"stop_id","count"
"000000000001_G",22
"000000000002_G_G",22
"000000000003_G_G",22
"000000000004_G_G",22
"000000000005_G_G",22
"000000010010",6
"000000080201",6
"000000080401",6
"000000080601",6
"000000080801",6
"000000081001",6
"000000966902",12
"000000966903",12
"000000966904",12
"000000966905",12
"000000966906",12
"000000966907",12
"000000966908",12
"000005100057",6
"000005100096",4
"000005100145",6
"000005100159",2
"000005100211",3
"000005100214",12
"000005100222",4
"000005100242",4
"000005100243",3
"000005100739",4
"000005101281",8
"000005101694",4
"000005101923",4
"000005102094",3
"000005102448",4
"000005102886",4
"000005103420",3
"000005103854",2
"000005103997",3
"000005104188",3
"000005104530",12
"000005104531",9
"000005189954",24
"000005400003",9
"000005400122",6
"000005400131",3
"000005400188",4
"000005400197",10
"000005400198",14
"000005400199",3
"000005400227",6
"000005400478",12
"000005400786",9
"000005400788",9
"000005400789",9
"000005400884",6
"000005400890",9
"000005400891",9
"000005400962",4
"000005401021",6
"000005401124",6
"000005401220",3
"000005401276",12
"000005401284",14
"000005401285",12
"000005401594",14
"000005401595",2
"000005401773",6
"000005401861",3
"000005401888",11
"000005401889",4
"000005401975",6
"000005402243",3
"000005402380",4
"000005402682",2
"000005402998",3
"000005403047",6
"000005403049",6
"000005403273",6
"000005403355",6
"000005403356",6
"000005403384",6
"000005403687",6
"000005403741",4
"000005403835",12
"000005465000",6
"000005474010",10
"000008000008",13
"000008000151",12
"000008001774",12
"000008002021",12
"000008002587",2
"000008003155",12
"000008003597",12
"000008004044",8
"000008005353",10
"000008006580",13
"000008006924",6
"000008012958",6
"000008013045",12
"000008017189",12
"000008017447",6
"000008070368",3
"000008071651",3
"000008071827",24
"000008080132",24
"000008084128",4
"000008089120",12
"000008089122",2
"000008089123",6
"000008089126",9
"000008089129",13
"000008100001",12
"000008100002",12
"000008100088",8
"000008100089",18
"000008100108",6
"000008100109",6
"000008100110",6
"000008100111",6
"000008100112",6
"000008100113",8
"000008100114",10
"000008100115",11
"000008100548",6
"000008100549",8
"000008100550",10
"000008100551",6
"000008100552",10
"000008100553",10
"000008100554",6
"000008100555",12
"000008100556",12
"000008100558",12
"000008101912",10
"000008101972",9
"000008102260",12
"000008400043",12
"000008400307",24
"000008400316",12
"000008400424",24
"000008400426",24
"000008400434",24
"000008400483",12
"000008400548",12
"000008400632",24
"000008503424",60
"000008600042",1
"000008600087",2
"000008600130",6
"000008600217",7
"000008600263",1
"000008600297",7
"000008600313",8
"000008600345",8
"000008600416",8
"000008600494",1
"000008600508",13
"000008600509",6
"000008600669",6
"000008600771",7
"000008600809",6
"000008600876",1
"000008600966",1
"000008601144",7
"000008601166",1
"000008601417",1
"000008601786",6
"000008601964",7
"000008601971",7
"000008601972",7
"000008602047",1
"000008602117",7
"000008602127",6
"000008602130",1
"000008602156",8
"000008602175",1
"000008602486",1
"000008602561",6
"000008602563",7
"000008602589",18
"000008602729",6
"000008602730",6
"000008602824",1
"000008602867",8
"000008602940",6
"000008602955",8
"000008602985",1
"000008613636",1
"000008700031",7
"000008700329",12
"000008721390",12
"000008800016",12
"000008800017",12
"000008800116",24
"000008800168",12
"000008800178",12
"000008800268",12
"000008800269",12
"000008800588",12
"000008800589",12
"000008800590",12
"000008800591",12
"000008800592",12
"000010911901",1
"000010911903",6
"000010912001_G",7
"000010912503",5
"000010912504",10
"000010912505",2
"000010952802",1
"000010952803",1
"000010952804",5
"000010952901",3
"000010952902",4
"000010953002",3
"000010953003",4
"000010953101",6
"000010953102",8
"000010953201",14
"000010953301",1
"000010953302",3
"000010953401",3
"000010953501",2
"000010953502",1
"000010974501",4
"000010974601",4
"000010974710",3
"000010974712",1
"000010974801",2
"000010975001",2
"000010975101",2
"000010975202",1
"000010975203",1
"000010975301",2
"000010975401",1
"000010975402",1
"000010975501",2
"000010975601",1
"000010975603",1
"000010977601",2
"000011017901",6
"000011017902",6
"000011018601",6
"000011018602",6
"000170000402",5
"000170000403",3
"000170001701",14
"000170002001",14
"000170002101",14
"000170002201",14
"000170005001",2
"000170005601",7
"000170006001",7
"000170006301",7
"000170006501",7
"000170006701",7
"000170007401",7
"000170007701",7
"000170008101",7
"000170008201",8
"000170008501",8
"000170008601",8
"000170008901",8
"000170009401",8
"000170009701",8
"000170009901",9
"000170010201",9
"000170010301",9
"000170011001",14
"000170011201",13
"000170011601",14
"000170011801",14
"000170011901",14
"000170012001",14
"000170012101",14
"000170012201",14
"000170012401",15
"000170012501",14
"000170012701",14
"000170012801",14
"000170012901",14
"000170013201",14
"000170013401",14
"000170013501",14
"000170013601",14
"000170013701",14
"000170014201",5
"000170014501",5
"000170014901",5
"000170015001",5
"000170015301",4
"000170015501",4
"000170015701",4
"000170016001",4
"000170016101",4
"000170016301",4
"000170016601",4
"000170016801",4
"000170016901",4
"000170017001",4
"000170017201",3
"000170017401",3
"000170017701",3
"000170017801",3
"000170018101",3
"000170018201",3
"000170018301",3
"000170018401",3
"000170018601",3
"000170018901",3
"000170019201",3
"000170019501",3
"000170019601",3
"000170019801",3
"000170020001",3
"000170020301",3
"000170020401",3
"000170020501",3
"000170020601",4
"000170020801",4
"000170020901",4
"000170021001",4
"000170021101",4
"000170021201",4
"000170021501",4
"000170021801",4
"000170022401",2
"000170022501",2
"000170022701",2
"000170023001",2
"000170023501",2
"000170023801",2
"000170024301",2
"000170024501",2
"000170024701",2
"000170024901",2
"000170025101",2
"000170025301",2
"000170025401",2
"000170025501",2
"000170025801",2
"000240000101",2
"000240000201",2
"000240000301",2
"000300723001",12
"000300750001",6
"ch:23005:300",26
"ch:23005:6",76
"ch:23005:826",24
"ch:23005:827",24
"ch:23017:27057",24
"ch:23017:5298",24
"ch:23017:53215",24
"ch:23017:53520",24
"ch:23017:53999_G",24
"ch:23017:55036",24
"ch:23017:55721",24
"ch:23017:63965",24
"cz:55100:20100:7:30",6
"cz:55100:20102:2:2",19
"cz:55100:20109:1:1",19
"cz:55100:20110:1:1",13
"cz:55206:20108:1:1",12
"cz:55206:70002:1:1",19
"cz:55206:70003:1:1",19
"cz:55206:70004:1:1",13
"cz:55206:70005:1:1",22
"cz:55206:70006:1:1",8
"cz:55207:67500:2:Gl.2",7
"cz:55207:67500:3:Gl.3",51
"cz:55207:67501:1:1",29
"cz:55207:67502:1:Gl.1",9
"cz:55207:67503:1:Gl.1",9
"cz:55207:67504:1:Gl.1",9
"cz:55207:67505:1:Gl.1",9
"cz:55207:67506:1:Gl.1",9
"cz:55207:67507:1:Gl.1",9
"cz:55207:67508:2:Gl.2",9
