"label","secondary_label","percent"
"(,-90)","[5,10)",0.000023886301206258210916
"(,-90)","[10,15)",0.000024313153415998054948
"(,-90)","[15,20)",0.000025823778535275281479
"(,-90)","[30,45)",0.000011297392561796737313
"(,-90)","[90,120)",0.000045539414363131290132
"(,-90)","[120,150)",0.00012124518808159801
"(,-90)","[150,180)",0.000078645720689722970449
"(,-90)","[180,240)",0.00017981030013335931
"(,-90)","[360,)",0.000085984522785898538263
"[-90,-75)","[120,150)",0.000030311297020399502895
"[-90,-75)","[240,300)",0.00010256147278274916
"[-90,-75)","[300,360)",0.00027119869824624842
"[-90,-75)","[360,)",0.000042992261392949269132
"[-75,-60)","[0,5)",0.000028255771241276030629
"[-75,-60)","[10,15)",0.000024313153415998054948
"[-75,-60)","[20,25)",0.000028334230583968492336
"[-75,-60)","[90,120)",0.000034154560772348467599
"[-75,-60)","[120,150)",0.000060622594040799005789
"[-75,-60)","[150,180)",0.00013763001120701520
"[-75,-60)","[180,240)",0.000059936766711119768644
"[-60,-45)","[0,5)",0.000028255771241276030629
"[-60,-45)","[5,10)",0.000023886301206258210916
"[-60,-45)","[45,60)",0.000013830110917489558266
"[-60,-45)","[60,75)",0.000065996799155240970813
"[-60,-45)","[75,90)",0.000037888834160572879173
"[-60,-45)","[90,120)",0.00010246368231704540
"[-60,-45)","[120,150)",0.00018186778212239702
"[-60,-45)","[150,180)",0.000058984290517292227837
"[-60,-45)","[180,240)",0.00010488934174445960
"[-45,-30)","[0,5)",0.000028255771241276030629
"[-45,-30)","[10,15)",0.000024313153415998054948
"[-45,-30)","[15,20)",0.000025823778535275281479
"[-45,-30)","[20,25)",0.000085002691751905477007
"[-45,-30)","[25,30)",0.000061525209954778970683
"[-45,-30)","[30,45)",0.000033892177685390211939
"[-45,-30)","[45,60)",0.000069150554587447791331
"[-45,-30)","[60,75)",0.000082495998944051213516
"[-45,-30)","[75,90)",0.00015155533664229152
"[-45,-30)","[90,120)",0.00011384853590782823
"[-45,-30)","[120,150)",0.00016671213361219727
"[-45,-30)","[150,180)",0.00017695287155187668
"[-45,-30)","[180,240)",0.00035962060026671861
"[-45,-30)","[240,300)",0.00043588625932668393
"[-45,-30)","[300,360)",0.00018079913216416561
"[-30,-25)","[15,20)",0.000025823778535275281479
"[-30,-25)","[30,45)",0.000033892177685390211939
"[-30,-25)","[45,60)",0.000027660221834979116533
"[-30,-25)","[60,75)",0.000016499199788810242703
"[-30,-25)","[75,90)",0.000037888834160572879173
"[-30,-25)","[90,120)",0.000056924267953914112665
"[-30,-25)","[120,150)",0.000060622594040799005789
"[-30,-25)","[150,180)",0.000039322860344861485224
"[-30,-25)","[180,240)",0.000014984191677779942161
"[-30,-25)","[300,360)",0.000090399566082082806003
"[-25,-20)","[0,5)",0.000028255771241276030629
"[-25,-20)","[5,10)",0.000047772602412516421832
"[-25,-20)","[10,15)",0.000024313153415998054948
"[-25,-20)","[15,20)",0.000051647557070550562958
"[-25,-20)","[20,25)",0.000028334230583968492336
"[-25,-20)","[30,45)",0.000033892177685390211939
"[-25,-20)","[45,60)",0.000069150554587447791331
"[-25,-20)","[60,75)",0.000098995198732861456219
"[-25,-20)","[75,90)",0.000094722085401432197931
"[-25,-20)","[90,120)",0.00012523338949861105
"[-25,-20)","[120,150)",0.00021217907914279652
"[-25,-20)","[150,180)",0.00015729144137944594
"[-25,-20)","[180,240)",0.00013485772510001948
"[-25,-20)","[240,300)",0.000025640368195687290069
"[-20,-15)","[0,5)",0.000028255771241276030629
"[-20,-15)","[10,15)",0.000024313153415998054948
"[-20,-15)","[15,20)",0.000025823778535275281479
"[-20,-15)","[20,25)",0.000028334230583968492336
"[-20,-15)","[25,30)",0.000061525209954778970683
"[-20,-15)","[30,45)",0.000033892177685390211939
"[-20,-15)","[45,60)",0.000041490332752468674799
"[-20,-15)","[60,75)",0.000065996799155240970813
"[-20,-15)","[75,90)",0.000094722085401432197931
"[-20,-15)","[90,120)",0.00010246368231704540
"[-20,-15)","[120,150)",0.00012124518808159801
"[-20,-15)","[150,180)",0.00017695287155187668
"[-20,-15)","[180,240)",0.00022476287516669913
"[-20,-15)","[240,300)",0.00033332478654393477
"[-20,-15)","[300,360)",0.00036159826432833122
"[-20,-15)","[360,)",0.00167669819432502150
"[-15,-10)","[20,25)",0.000028334230583968492336
"[-15,-10)","[25,30)",0.000030762604977389485342
"[-15,-10)","[45,60)",0.000027660221834979116533
"[-15,-10)","[60,75)",0.000032998399577620485406
"[-15,-10)","[75,90)",0.000037888834160572879173
"[-15,-10)","[90,120)",0.00017077280386174234
"[-15,-10)","[120,150)",0.00039404686126519354
"[-15,-10)","[150,180)",0.00023593716206916891
"[-15,-10)","[180,240)",0.00014984191677779942
"[-15,-10)","[240,300)",0.00030768441834824748
"[-15,-10)","[300,360)",0.00081359609473874525
"[-15,-10)","[360,)",0.00025795356835769561
"[-10,-9)","[0,5)",0.01042637958803085530
"[-10,-9)","[5,10)",0.00876627254269676341
"[-10,-9)","[10,15)",0.00880136153659129589
"[-10,-9)","[15,20)",0.00950315050098130358
"[-10,-9)","[20,25)",0.01122035531125152296
"[-10,-9)","[25,30)",0.01098224997692804627
"[-10,-9)","[30,45)",0.01202042568575172850
"[-10,-9)","[45,60)",0.01341520758996487152
"[-10,-9)","[60,75)",0.01569073899915854081
"[-10,-9)","[75,90)",0.01651953169400977532
"[-10,-9)","[90,120)",0.01695204699667562275
"[-10,-9)","[120,150)",0.01771695310842350944
