"label","secondary_label","percent"
"(,-90)","[1,2)",0.000016251178210420255469
"(,-90)","[3,4)",0.000002779994050812731261
"(,-90)","[11,16)",0.000007685863391464080117
"(,-90)","[31,46)",0.000010333887918651634304
"(,-90)","[46,61)",0.000068157033805888767721
"(,-90)","[61,76)",0.000081290899483802788278
"(,-90)","[76,91)",0.000033559299281830995369
"(,-90)","[91,)",0.01961549903316971590
"[-90,-75)","[0,1)",0.000002652243765072204021
"[-90,-75)","[3,4)",0.000005559988101625462522
"[-90,-75)","[7,8)",0.000021128918093749009582
"[-90,-75)","[8,9)",0.000010601081310293649952
"[-90,-75)","[11,16)",0.000003842931695732040059
"[-90,-75)","[31,46)",0.000015500831877977451457
"[-90,-75)","[61,76)",0.000060968174612852091208
"[-90,-75)","[76,91)",0.01181287334720451037
"[-90,-75)","[91,)",0.00217536813922356091
"[-75,-60)","[0,1)",0.000001326121882536102011
"[-75,-60)","[3,4)",0.000005559988101625462522
"[-75,-60)","[11,16)",0.000011528795087196120176
"[-75,-60)","[16,21)",0.000010445991611868735669
"[-75,-60)","[21,26)",0.000007216100563577454015
"[-75,-60)","[31,46)",0.000031001663755954902913
"[-75,-60)","[46,61)",0.000048683595575634834086
"[-75,-60)","[61,76)",0.01014103971060439784
"[-75,-60)","[76,91)",0.00244982884757366266
"[-75,-60)","[91,)",0.00120853785512420051
"[-60,-45)","[0,1)",0.000025859376709453989207
"[-60,-45)","[1,2)",0.000024376767315630383203
"[-60,-45)","[2,3)",0.000005996884618440720046
"[-60,-45)","[3,4)",0.000013899970254063656304
"[-60,-45)","[4,5)",0.000016477993639494455155
"[-60,-45)","[5,6)",0.000015773119449833593590
"[-60,-45)","[6,7)",0.000063285631788372847300
"[-60,-45)","[7,8)",0.000031693377140623514373
"[-60,-45)","[8,9)",0.000010601081310293649952
"[-60,-45)","[9,10)",0.000051328773627276110306
"[-60,-45)","[10,11)",0.000013830110917489558266
"[-60,-45)","[11,16)",0.000065329838827444680998
"[-60,-45)","[16,21)",0.000010445991611868735669
"[-60,-45)","[21,26)",0.000014432201127154908031
"[-60,-45)","[26,31)",0.000018461424852770136799
"[-60,-45)","[31,46)",0.000087838047308538891587
"[-60,-45)","[46,61)",0.01077854806044555227
"[-60,-45)","[61,76)",0.00386131772548063244
"[-60,-45)","[76,91)",0.00275186254111014162
"[-60,-45)","[91,)",0.00356983489513609996
"[-45,-30)","[0,1)",0.000025859376709453989207
"[-45,-30)","[1,2)",0.000081255891052101277343
"[-45,-30)","[2,3)",0.000017990653855322160138
"[-45,-30)","[3,4)",0.000025019946457314581347
"[-45,-30)","[4,5)",0.000008238996819747227578
"[-45,-30)","[5,6)",0.000047319358349500780769
"[-45,-30)","[6,7)",0.000015821407947093211825
"[-45,-30)","[7,8)",0.000031693377140623514373
"[-45,-30)","[8,9)",0.000042404325241174599809
"[-45,-30)","[9,10)",0.00010265754725455222
"[-45,-30)","[10,11)",0.000069150554587447791331
"[-45,-30)","[11,16)",0.000057643975435980600881
"[-45,-30)","[16,21)",0.000067898945477146781851
"[-45,-30)","[21,26)",0.000057728804508619632123
"[-45,-30)","[26,31)",0.000046153562131925341998
"[-45,-30)","[31,46)",0.01329971375130465335
"[-45,-30)","[46,61)",0.00564729708677364075
"[-45,-30)","[61,76)",0.00286550420680404829
"[-45,-30)","[76,91)",0.00359084502315591650
"[-45,-30)","[91,)",0.00834820764539640042
"[-30,-25)","[0,1)",0.000014587340707897122117
"[-30,-25)","[1,2)",0.000040627945526050638671
"[-30,-25)","[2,3)",0.000013492990391491620103
"[-30,-25)","[3,4)",0.000008339982152438193782
"[-30,-25)","[4,5)",0.000004119498409873613789
"[-30,-25)","[5,6)",0.000042061651866222916239
"[-30,-25)","[7,8)",0.000010564459046874504791
"[-30,-25)","[9,10)",0.000025664386813638055153
"[-30,-25)","[10,11)",0.000027660221834979116533
"[-30,-25)","[11,16)",0.000030743453565856320470
"[-30,-25)","[16,21)",0.000036560970641540574843
"[-30,-25)","[21,26)",0.000028864402254309816062
"[-30,-25)","[26,31)",0.01211992541584359481
"[-30,-25)","[31,46)",0.00372019965071458835
"[-30,-25)","[46,61)",0.00178181959806823493
"[-30,-25)","[61,76)",0.00294679510628785108
"[-30,-25)","[76,91)",0.00204711725619169072
"[-30,-25)","[91,)",0.00356983489513609996
"[-25,-20)","[0,1)",0.000011272036001556867090
"[-25,-20)","[1,2)",0.000024376767315630383203
"[-25,-20)","[2,3)",0.000019489875009932340149
