"secondary_label","label","percent"
"(,-20)","[31,46)",0.9230769230769231
"(,-20)","[61,76)",0.07692307692307693
"[-20,-15)","[31,46)",1
"[-15,-10)","[0,1)",0.9640287769784173
"[-15,-10)","[6,7)",0.007194244604316547
"[-15,-10)","[11,16)",0.007194244604316547
"[-15,-10)","[16,21)",0.007194244604316547
"[-15,-10)","[61,76)",0.014388489208633094
"[-10,-5)","[0,1)",0.935672514619883
"[-10,-5)","[1,2)",0.001949317738791423
"[-10,-5)","[5,6)",0.003898635477582846
"[-10,-5)","[6,7)",0.003898635477582846
"[-10,-5)","[7,8)",0.011695906432748537
"[-10,-5)","[9,10)",0.01364522417153996
"[-10,-5)","[10,11)",0.011695906432748537
"[-10,-5)","[11,16)",0.003898635477582846
"[-10,-5)","[16,21)",0.0077972709551656924
"[-10,-5)","[31,46)",0.001949317738791423
"[-10,-5)","[46,61)",0.003898635477582846
"[-5,0)","[0,1)",0.780511811023622
"[-5,0)","[1,2)",0.04232283464566929
"[-5,0)","[2,3)",0.031496062992125984
"[-5,0)","[3,4)",0.023622047244094488
"[-5,0)","[4,5)",0.015748031496062992
"[-5,0)","[5,6)",0.022637795275590553
"[-5,0)","[6,7)",0.02066929133858268
"[-5,0)","[7,8)",0.013779527559055118
"[-5,0)","[8,9)",0.003937007874015748
"[-5,0)","[9,10)",0.00984251968503937
"[-5,0)","[10,11)",0.006889763779527559
"[-5,0)","[11,16)",0.005905511811023622
"[-5,0)","[16,21)",0.011811023622047244
"[-5,0)","[21,26)",0.004921259842519685
"[-5,0)","[31,46)",0.000984251968503937
"[-5,0)","[46,61)",0.004921259842519685
"[0,5)","[-4,-3)",0.0003170577045022194
"[0,5)","[-3,-2)",0.0019023462270133164
"[0,5)","[-2,-1)",0.0025364616360177552
"[0,5)","[-1,0)",0.016487000634115408
"[0,5)","[0,1)",0.5973367152821814
"[0,5)","[1,2)",0.11128725428027901
"[0,5)","[2,3)",0.06055802155992391
