"Time","primary","secondary","substituted","sample_count"
1679529600.000000,0.761,0.030,0.000,690
1679616000.000000,0.718,0.027,0.000,714
1679702400.000000,0.824,0.027,0.000,558
1679788800.000000,0.731,0.072,0.000,609
1679875200.000000,0.038,0.958,0.000,478
1679961600.000000,0.695,0.065,0.000,642
1680048000.000000,0.791,0.030,0.000,474
1680134400.000000,0.792,0.027,0.000,548
1680220800.000000,0.722,0.028,0.000,632
1680307200.000000,0.758,0.037,0.000,1300
1680393600.000000,0.788,0.033,0.000,1304
1680480000.000000,0.635,0.095,0.000,704
1680566400.000000,0.710,0.046,0.000,649
1680652800.000000,0.683,0.022,0.000,714
1680739200.000000,0.697,0.028,0.000,653
1680825600.000000,0.803,0.023,0.000,575
1680912000.000000,0.833,0.010,0.000,575
1680998400.000000,0.756,0.029,0.000,516
1681084800.000000,0.817,0.028,0.000,562
1681171200.000000,0.747,0.022,0.000,697
1681257600.000000,0.739,0.010,0.000,625
1681344000.000000,0.760,0.017,0.000,641
1681430400.000000,0.728,0.019,0.000,628
1681516800.000000,0.739,0.035,0.000,579
1681603200.000000,0.722,0.022,0.000,807
1681689600.000000,0.678,0.038,0.000,771
1681776000.000000,0.730,0.030,0.000,693
1681862400.000000,0.750,0.023,0.000,604
1681948800.000000,0.702,0.041,0.000,738
1682035200.000000,0.292,0.472,0.000,674
1682121600.000000,0.678,0.022,0.000,826
1682208000.000000,0.775,0.025,0.000,893
1682294400.000000,0.722,0.025,0.000,706
1682380800.000000,0.648,0.027,0.000,849
1682467200.000000,0.621,0.016,0.000,3790
1682553600.000000,0.660,0.027,0.000,7368
1682640000.000000,0.646,0.018,0.000,7907
1682726400.000000,0.698,0.025,0.000,6646
1682812800.000000,0.762,0.022,0.000,5973
1682899200.000000,0.748,0.029,0.000,7023
1682985600.000000,0.598,0.048,0.000,7659
1683072000.000000,0.697,0.028,0.000,7431
1683158400.000000,0.632,0.037,0.000,7562
1683244800.000000,0.603,0.031,0.000,7764
1683331200.000000,0.715,0.026,0.000,6569
1683417600.000000,0.686,0.025,0.000,6415
1683504000.000000,0.612,0.046,0.000,7150
1683590400.000000,0.660,0.024,0.000,7273
1683676800.000000,0.584,0.036,0.000,7352
1683763200.000000,0.622,0.023,0.000,6723
1683849600.000000,0.546,0.031,0.000,7137
1683936000.000000,0.642,0.021,0.000,6034
1684022400.000000,0.617,0.094,0.000,6343
1684108800.000000,0.664,0.131,0.000,7040
1684195200.000000,0.693,0.065,0.000,7135
1684281600.000000,0.648,0.022,0.000,7555
1684368000.000000,0.726,0.033,0.000,6887
1684454400.000000,0.739,0.030,0.000,7021
1684540800.000000,0.772,0.018,0.000,5700
1684627200.000000,0.626,0.032,0.000,6135
1684713600.000000,0.597,0.047,0.000,7465
1684800000.000000,0.561,0.067,0.000,7395
1684886400.000000,0.694,0.035,0.000,7613
1684972800.000000,0.620,0.047,0.000,7655
1685059200.000000,0.635,0.043,0.000,7739
1685145600.000000,0.591,0.040,0.000,7240
1685232000.000000,0.704,0.032,0.000,6118
1685318400.000000,0.705,0.030,0.000,6592
1685404800.000000,0.668,0.034,0.000,7534
1685491200.000000,0.644,0.036,0.000,7699
1685577600.000000,0.597,0.046,0.000,7543
1685664000.000000,0.652,0.029,0.000,8034
1685750400.000000,0.669,0.050,0.000,6911
1685836800.000000,0.657,0.074,0.000,7064
